Index,GPS time,X,Y,Z,VX
2761,2147:194053.200,-3961699.918,3349001.778,3698388.132,
2762,2147:194053.400,-3961699.424,3349001.521,3698388.771,
2763,2147:194053.600,-3961699.023,3349001.259,3698389.440,
2764,2147:194053.800,-3961698.669,3349000.942,3698390.106,
2765,2147:194054.000,-3961698.356,3349000.584,3698390.762,
2766,2147:194054.200,-3961698.042,3349000.212,3698391.394,
2767,2147:194054.400,-3961697.770,3348999.841,3698392.031,
2768,2147:194054.600,-3961697.516,3348999.439,3698392.640,
2769,2147:194054.800,-3961697.261,3348999.014,3698393.227,
2770,2147:194055.000,-3961697.026,3348998.572,3698393.845,
2771,2147:194055.200,-3961696.728,3348998.129,3698394.418,
2772,2147:194055.400,-3961696.507,3348997.681,3698395.002,
2773,2147:194055.600,-3961696.315,3348997.261,3698395.589,
2774,2147:194055.800,-3961696.136,3348996.882,3698396.162,
2775,2147:194056.000,-3961695.959,3348996.482,3698396.687,
2776,2147:194056.200,-3961695.778,3348996.114,3698397.201,
2777,2147:194056.400,-3961695.609,3348995.761,3698397.664,
2778,2147:194056.600,-3961695.459,3348995.451,3698398.116,
2779,2147:194056.800,-3961695.317,3348995.177,3698398.537,
2780,2147:194057.000,-3961695.129,3348994.891,3698398.929,
2781,2147:194057.200,-3961694.950,3348994.658,3698399.297,
2782,2147:194057.400,-3961694.789,3348994.412,3698399.668,
2783,2147:194057.600,-3961694.623,3348994.212,3698400.025,
2784,2147:194057.800,-3961694.466,3348994.038,3698400.389,
2785,2147:194058.000,-3961694.281,3348993.822,3698400.707,
2786,2147:194058.200,-3961694.135,3348993.643,3698401.016,
2787,2147:194058.400,-3961693.987,3348993.480,3698401.303,
2788,2147:194058.600,-3961693.831,3348993.313,3698401.583,
2789,2147:194058.800,-3961693.677,3348993.182,3698401.867,
2790,2147:194059.000,-3961693.526,3348993.095,3698402.126,
2791,2147:194059.200,-3961693.344,3348993.035,3698402.385,
2792,2147:194059.400,-3961693.177,3348992.949,3698402.611,
2793,2147:194059.600,-3961693.020,3348992.871,3698402.847,
2794,2147:194059.800,-3961692.861,3348992.799,3698403.067,
2795,2147:194060.000,-3961692.700,3348992.736,3698403.291,
2796,2147:194060.200,-3961692.524,3348992.672,3698403.508,
2797,2147:194060.400,-3961692.339,3348992.628,3698403.735,
2798,2147:194060.600,-3961692.158,3348992.642,3698403.956,
2799,2147:194060.800,-3961691.977,3348992.630,3698404.154,
2800,2147:194061.000,-3961691.813,3348992.604,3698404.342,
2801,2147:194061.200,-3961691.655,3348992.603,3698404.525,
2802,2147:194061.400,-3961691.491,3348992.609,3698404.689,
2803,2147:194061.600,-3961691.328,3348992.607,3698404.838,
2804,2147:194061.800,-3961691.170,3348992.604,3698404.973,
2805,2147:194062.000,-3961691.022,3348992.619,3698405.140,
2806,2147:194062.200,-3961690.875,3348992.638,3698405.291,
2807,2147:194062.400,-3961690.721,3348992.655,3698405.429,
2808,2147:194062.600,-3961690.572,3348992.667,3698405.563,
2809,2147:194062.800,-3961690.409,3348992.686,3698405.690,
2810,2147:194063.000,-3961690.264,3348992.710,3698405.831,
2811,2147:194063.200,-3961690.122,3348992.723,3698405.953,
2812,2147:194063.400,-3961689.991,3348992.732,3698406.067,
2813,2147:194063.600,-3961689.862,3348992.765,3698406.176,
2814,2147:194063.800,-3961689.750,3348992.767,3698406.262,
2815,2147:194064.000,-3961689.664,3348992.790,3698406.350,
2816,2147:194064.200,-3961689.568,3348992.797,3698406.417,
2817,2147:194064.400,-3961689.462,3348992.816,3698406.494,
2818,2147:194064.600,-3961689.362,3348992.845,3698406.585,
2819,2147:194064.800,-3961689.244,3348992.869,3698406.668,
2820,2147:194065.000,-3961689.116,3348992.900,3698406.765,
2821,2147:194065.200,-3961688.994,3348992.966,3698406.893,
2822,2147:194065.400,-3961688.850,3348992.992,3698407.005,
2823,2147:194065.600,-3961688.734,3348993.039,3698407.111,
2824,2147:194065.800,-3961688.597,3348993.072,3698407.192,
2825,2147:194066.000,-3961688.466,3348993.107,3698407.294,
2826,2147:194066.200,-3961688.342,3348993.147,3698407.390,
2827,2147:194066.400,-3961688.202,3348993.179,3698407.495,
2828,2147:194066.600,-3961688.068,3348993.231,3698407.602,
2829,2147:194066.800,-3961687.921,3348993.270,3698407.701,
2830,2147:194067.000,-3961687.791,3348993.317,3698407.803,
2831,2147:194067.200,-3961687.658,3348993.360,3698407.883,
2832,2147:194067.400,-3961687.516,3348993.394,3698407.986,
2833,2147:194067.600,-3961687.357,3348993.434,3698408.076,
2834,2147:194067.800,-3961687.201,3348993.487,3698408.192,
2835,2147:194068.000,-3961687.038,3348993.553,3698408.319,
2836,2147:194068.200,-3961686.866,3348993.601,3698408.429,
2837,2147:194068.400,-3961686.709,3348993.688,3698408.589,
2838,2147:194068.600,-3961686.523,3348993.728,3698408.699,
2839,2147:194068.800,-3961686.367,3348993.783,3698408.816,
2840,2147:194069.000,-3961686.226,3348993.833,3698408.921,
2841,2147:194069.200,-3961686.098,3348993.872,3698409.014,
2842,2147:194069.400,-3961685.995,3348993.915,3698409.103,
2843,2147:194069.600,-3961685.890,3348993.949,3698409.180,
2844,2147:194069.800,-3961685.786,3348993.984,3698409.252,
2845,2147:194070.000,-3961685.668,3348994.032,3698409.348,
2846,2147:194070.200,-3961685.540,3348994.080,3698409.442,
2847,2147:194070.400,-3961685.389,3348994.128,3698409.552,
2848,2147:194070.600,-3961685.229,3348994.166,3698409.664,
2849,2147:194070.800,-3961685.052,3348994.219,3698409.798,
2850,2147:194071.000,-3961684.881,3348994.285,3698409.930,
2851,2147:194071.200,-3961684.685,3348994.343,3698410.090,
2852,2147:194071.400,-3961684.427,3348994.397,3698410.242,
2853,2147:194071.600,-3961684.259,3348994.473,3698410.402,
2854,2147:194071.800,-3961684.052,3348994.540,3698410.567,
2855,2147:194072.000,-3961683.826,3348994.602,3698410.741,
2856,2147:194072.200,-3961683.612,3348994.663,3698410.909,
2857,2147:194072.400,-3961683.388,3348994.732,3698411.080,
2858,2147:194072.600,-3961683.164,3348994.805,3698411.264,
2859,2147:194072.800,-3961682.921,3348994.872,3698411.456,
2860,2147:194073.000,-3961682.687,3348994.935,3698411.646,
2861,2147:194073.200,-3961682.446,3348994.998,3698411.814,
2862,2147:194073.400,-3961682.191,3348995.073,3698412.050,
2863,2147:194073.600,-3961681.935,3348995.140,3698412.260,
2864,2147:194073.800,-3961681.666,3348995.192,3698412.470,
2865,2147:194074.000,-3961681.409,3348995.254,3698412.698,
2866,2147:194074.200,-3961681.156,3348995.316,3698412.932,
2867,2147:194074.400,-3961680.891,3348995.369,3698413.157,
2868,2147:194074.600,-3961680.626,3348995.416,3698413.401,
2869,2147:194074.800,-3961680.371,3348995.456,3698413.644,
2870,2147:194075.000,-3961680.114,3348995.495,3698413.894,
2871,2147:194075.200,-3961679.848,3348995.526,3698414.139,
2872,2147:194075.400,-3961679.591,3348995.551,3698414.396,
2873,2147:194075.600,-3961679.347,3348995.568,3698414.657,
2874,2147:194075.800,-3961679.103,3348995.584,3698414.898,
2875,2147:194076.000,-3961678.858,3348995.593,3698415.131,
2876,2147:194076.200,-3961678.619,3348995.600,3698415.388,
2877,2147:194076.400,-3961678.418,3348995.592,3698415.630,
2878,2147:194076.600,-3961678.244,3348995.570,3698415.828,
2879,2147:194076.800,-3961678.082,3348995.582,3698415.994,
2880,2147:194077.000,-3961677.947,3348995.591,3698416.147,
2881,2147:194077.200,-3961677.822,3348995.567,3698416.292,
2882,2147:194077.400,-3961677.712,3348995.555,3698416.432,
2883,2147:194077.600,-3961677.604,3348995.554,3698416.559,
2884,2147:194077.800,-3961677.494,3348995.546,3698416.681,
2885,2147:194078.000,-3961677.379,3348995.533,3698416.812,
2886,2147:194078.200,-3961677.265,3348995.515,3698416.943,
2887,2147:194078.400,-3961677.149,3348995.498,3698417.083,
2888,2147:194078.600,-3961677.000,3348995.476,3698417.234,
2889,2147:194078.800,-3961676.874,3348995.456,3698417.393,
2890,2147:194079.000,-3961676.741,3348995.422,3698417.575,
2891,2147:194079.200,-3961676.616,3348995.378,3698417.760,
2892,2147:194079.400,-3961676.464,3348995.329,3698417.975,
2893,2147:194079.600,-3961676.248,3348995.265,3698418.263,
2894,2147:194079.800,-3961676.003,3348995.163,3698418.613,
2895,2147:194080.000,-3961675.746,3348995.004,3698419.015,
2896,2147:194080.200,-3961675.469,3348994.820,3698419.452,
2897,2147:194080.400,-3961675.193,3348994.613,3698419.917,
2898,2147:194080.600,-3961674.936,3348994.365,3698420.407,
2899,2147:194080.800,-3961674.699,3348994.045,3698420.920,
2900,2147:194081.000,-3961674.478,3348993.714,3698421.451,
2901,2147:194081.200,-3961674.240,3348993.370,3698421.995,
2902,2147:194081.400,-3961674.038,3348992.964,3698422.548,
2903,2147:194081.600,-3961673.902,3348992.507,3698423.105,
2904,2147:194081.800,-3961673.742,3348992.023,3698423.678,
2905,2147:194082.000,-3961673.583,3348991.511,3698424.268,
2906,2147:194082.200,-3961673.492,3348990.973,3698424.880,
2907,2147:194082.400,-3961673.437,3348990.399,3698425.459,
2908,2147:194082.600,-3961673.360,3348989.806,3698426.058,
2909,2147:194082.800,-3961673.315,3348989.166,3698426.663,
2910,2147:194083.000,-3961673.315,3348988.493,3698427.278,
2911,2147:194083.200,-3961673.305,3348987.804,3698427.900,
2912,2147:194083.400,-3961673.295,3348987.102,3698428.506,
2913,2147:194083.600,-3961673.345,3348986.361,3698429.114,
2914,2147:194083.800,-3961673.427,3348985.609,3698429.704,
2915,2147:194084.000,-3961673.513,3348984.855,3698430.291,
2916,2147:194084.200,-3961673.594,3348984.064,3698430.866,
2917,2147:194084.400,-3961673.717,3348983.283,3698431.434,
2918,2147:194084.600,-3961673.862,3348982.503,3698432.003,
2919,2147:194084.800,-3961673.991,3348981.722,3698432.563,
2920,2147:194085.000,-3961674.133,3348980.944,3698433.118,
2921,2147:194085.200,-3961674.279,3348980.172,3698433.654,
2922,2147:194085.400,-3961674.387,3348979.403,3698434.221,
2923,2147:194085.600,-3961674.545,3348978.637,3698434.757,
2924,2147:194085.800,-3961674.688,3348977.855,3698435.270,
2925,2147:194086.000,-3961674.839,3348977.112,3698435.789,
2926,2147:194086.200,-3961674.983,3348976.401,3698436.274,
2927,2147:194086.400,-3961675.117,3348975.706,3698436.736,
2928,2147:194086.600,-3961675.262,3348975.052,3698437.198,
2929,2147:194086.800,-3961675.399,3348974.433,3698437.617,
2930,2147:194087.000,-3961675.520,3348973.858,3698437.989,
2931,2147:194087.200,-3961675.613,3348973.320,3698438.358,
2932,2147:194087.400,-3961675.714,3348972.824,3698438.692,
2933,2147:194087.600,-3961675.814,3348972.379,3698438.989,
2934,2147:194087.800,-3961675.909,3348971.980,3698439.262,
2935,2147:194088.000,-3961675.982,3348971.621,3698439.502,
2936,2147:194088.200,-3961676.050,3348971.308,3698439.721,
2937,2147:194088.400,-3961676.096,3348971.024,3698439.896,
2938,2147:194088.600,-3961676.139,3348970.783,3698440.053,
2939,2147:194088.800,-3961676.180,3348970.585,3698440.188,
2940,2147:194089.000,-3961676.216,3348970.431,3698440.295,
2941,2147:194089.200,-3961676.245,3348970.316,3698440.380,
2942,2147:194089.400,-3961676.270,3348970.237,3698440.431,
2943,2147:194089.600,-3961676.279,3348970.199,3698440.459,
2944,2147:194089.800,-3961676.283,3348970.205,3698440.459,
2945,2147:194090.000,-3961676.280,3348970.214,3698440.452,
2946,2147:194090.200,-3961676.285,3348970.206,3698440.454,
2947,2147:194090.400,-3961676.286,3348970.207,3698440.451,
2948,2147:194090.600,-3961676.283,3348970.208,3698440.449,
2949,2147:194090.800,-3961676.280,3348970.202,3698440.448,
2950,2147:194091.000,-3961676.282,3348970.206,3698440.448,
2951,2147:194091.200,-3961676.284,3348970.210,3698440.452,
2952,2147:194091.400,-3961676.281,3348970.211,3698440.453,
2953,2147:194091.600,-3961676.277,3348970.210,3698440.454,
2954,2147:194091.800,-3961676.280,3348970.211,3698440.455,
2955,2147:194092.000,-3961676.281,3348970.212,3698440.458,
2956,2147:194092.200,-3961676.281,3348970.211,3698440.455,
2957,2147:194092.400,-3961676.279,3348970.209,3698440.453,
2958,2147:194092.600,-3961676.279,3348970.209,3698440.453,
2959,2147:194092.800,-3961676.277,3348970.209,3698440.452,
2960,2147:194093.000,-3961676.276,3348970.210,3698440.452,
2961,2147:194093.200,-3961676.280,3348970.210,3698440.451,
2962,2147:194093.400,-3961676.280,3348970.210,3698440.451,
2963,2147:194093.600,-3961676.280,3348970.210,3698440.454,
2964,2147:194093.800,-3961676.281,3348970.211,3698440.453,
2965,2147:194094.000,-3961676.280,3348970.210,3698440.453,
2966,2147:194094.200,-3961676.278,3348970.208,3698440.453,
2967,2147:194094.400,-3961676.282,3348970.204,3698440.458,
2968,2147:194094.600,-3961676.289,3348970.191,3698440.469,
2969,2147:194094.800,-3961676.293,3348970.167,3698440.484,
2970,2147:194095.000,-3961676.300,3348970.135,3698440.504,
2971,2147:194095.200,-3961676.305,3348970.095,3698440.525,
2972,2147:194095.400,-3961676.318,3348970.055,3698440.562,
2973,2147:194095.600,-3961676.333,3348969.977,3698440.607,
2974,2147:194095.800,-3961676.362,3348969.854,3698440.698,
2975,2147:194096.000,-3961676.408,3348969.670,3698440.825,
2976,2147:194096.200,-3961676.445,3348969.424,3698440.979,
2977,2147:194096.400,-3961676.505,3348969.144,3698441.167,
2978,2147:194096.600,-3961676.575,3348968.818,3698441.381,
2979,2147:194096.800,-3961676.656,3348968.439,3698441.639,
2980,2147:194097.000,-3961676.745,3348968.003,3698441.935,
2981,2147:194097.200,-3961676.853,3348967.518,3698442.260,
2982,2147:194097.400,-3961676.958,3348966.986,3698442.609,
2983,2147:194097.600,-3961677.083,3348966.415,3698442.993,
2984,2147:194097.800,-3961677.203,3348965.805,3698443.401,
2985,2147:194098.000,-3961677.352,3348965.162,3698443.839,
2986,2147:194098.200,-3961677.490,3348964.481,3698444.296,
2987,2147:194098.400,-3961677.634,3348963.768,3698444.774,
2988,2147:194098.600,-3961677.792,3348963.034,3698445.265,
2989,2147:194098.800,-3961677.955,3348962.268,3698445.784,
2990,2147:194099.000,-3961678.120,3348961.470,3698446.317,
2991,2147:194099.200,-3961678.304,3348960.637,3698446.874,
2992,2147:194099.400,-3961678.482,3348959.785,3698447.454,
2993,2147:194099.600,-3961678.669,3348958.913,3698448.040,
2994,2147:194099.800,-3961678.869,3348958.008,3698448.653,
2995,2147:194100.000,-3961679.065,3348957.068,3698449.293,
2996,2147:194100.200,-3961679.266,3348956.093,3698449.959,
2997,2147:194100.400,-3961679.466,3348955.065,3698450.635,
2998,2147:194100.600,-3961679.678,3348954.023,3698451.344,
2999,2147:194100.800,-3961679.905,3348952.944,3698452.066,
3000,2147:194101.000,-3961680.128,3348951.813,3698452.819,
3001,2147:194101.200,-3961680.359,3348950.657,3698453.594,
3002,2147:194101.400,-3961680.601,3348949.471,3698454.384,
3003,2147:194101.600,-3961680.854,3348948.259,3698455.211,
3004,2147:194101.800,-3961681.115,3348947.005,3698456.045,
3005,2147:194102.000,-3961681.375,3348945.732,3698456.901,
3006,2147:194102.200,-3961681.664,3348944.440,3698457.775,
3007,2147:194102.400,-3961681.942,3348943.141,3698458.666,
3008,2147:194102.600,-3961682.217,3348941.813,3698459.557,
3009,2147:194102.800,-3961682.500,3348940.493,3698460.465,
3010,2147:194103.000,-3961682.776,3348939.153,3698461.369,
3011,2147:194103.200,-3961683.030,3348937.820,3698462.275,
3012,2147:194103.400,-3961683.298,3348936.497,3698463.178,
3013,2147:194103.600,-3961683.583,3348935.167,3698464.090,
3014,2147:194103.800,-3961683.826,3348933.826,3698464.998,
3015,2147:194104.000,-3961684.079,3348932.499,3698465.900,
3016,2147:194104.200,-3961684.344,3348931.173,3698466.810,
3017,2147:194104.400,-3961684.617,3348929.856,3698467.715,
3018,2147:194104.600,-3961684.890,3348928.537,3698468.617,
3019,2147:194104.800,-3961685.177,3348927.233,3698469.534,
3020,2147:194105.000,-3961685.456,3348925.924,3698470.440,
3021,2147:194105.200,-3961685.740,3348924.613,3698471.339,
3022,2147:194105.400,-3961686.014,3348923.283,3698472.227,
3023,2147:194105.600,-3961686.319,3348921.967,3698473.140,
3024,2147:194105.800,-3961686.524,3348920.651,3698474.129,
3025,2147:194106.000,-3961686.794,3348919.292,3698475.062,
3026,2147:194106.200,-3961687.082,3348917.924,3698475.988,
3027,2147:194106.400,-3961687.375,3348916.551,3698476.974,
3028,2147:194106.600,-3961687.682,3348915.165,3698477.932,
3029,2147:194106.800,-3961687.969,3348913.749,3698478.900,
3030,2147:194107.000,-3961688.254,3348912.364,3698479.892,
3031,2147:194107.200,-3961688.561,3348910.894,3698480.753,
3032,2147:194107.400,-3961688.860,3348909.465,3698481.733,
3033,2147:194107.600,-3961689.137,3348908.014,3698482.709,
3034,2147:194107.800,-3961689.420,3348906.582,3698483.686,
3035,2147:194108.000,-3961689.687,3348905.161,3698484.659,
3036,2147:194108.200,-3961689.966,3348903.731,3698485.634,
3037,2147:194108.400,-3961690.258,3348902.300,3698486.600,
3038,2147:194108.600,-3961690.557,3348900.875,3698487.570,
3039,2147:194108.800,-3961690.849,3348899.434,3698488.555,
3040,2147:194109.000,-3961691.161,3348897.957,3698489.555,
3041,2147:194109.200,-3961691.482,3348896.464,3698490.581,
3042,2147:194109.400,-3961691.813,3348894.960,3698491.607,
3043,2147:194109.600,-3961692.139,3348893.401,3698492.657,
3044,2147:194109.800,-3961692.470,3348891.835,3698493.732,
3045,2147:194110.000,-3961692.791,3348890.247,3698494.818,
3046,2147:194110.200,-3961693.139,3348888.626,3698495.922,
3047,2147:194110.400,-3961693.452,3348886.968,3698497.029,
3048,2147:194110.600,-3961693.796,3348885.282,3698498.161,
3049,2147:194110.800,-3961694.146,3348883.587,3698499.310,
3050,2147:194111.000,-3961694.466,3348881.890,3698500.478,
3051,2147:194111.200,-3961694.832,3348880.178,3698501.651,
3052,2147:194111.400,-3961695.207,3348878.449,3698502.833,
3053,2147:194111.600,-3961695.560,3348876.723,3698503.997,
3054,2147:194111.800,-3961695.926,3348874.995,3698505.149,
3055,2147:194112.000,-3961696.301,3348873.288,3698506.311,
3056,2147:194112.200,-3961696.678,3348871.567,3698507.470,
3057,2147:194112.400,-3961697.043,3348869.865,3698508.628,
3058,2147:194112.600,-3961697.414,3348868.146,3698509.782,
3059,2147:194112.800,-3961697.799,3348866.436,3698510.937,
3060,2147:194113.000,-3961698.205,3348864.690,3698512.110,
3061,2147:194113.200,-3961698.610,3348862.926,3698513.272,
3062,2147:194113.400,-3961698.998,3348861.140,3698514.435,
3063,2147:194113.600,-3961699.388,3348859.361,3698515.608,
3064,2147:194113.800,-3961699.771,3348857.590,3698516.792,
3065,2147:194114.000,-3961700.170,3348855.829,3698517.973,
3066,2147:194114.200,-3961700.567,3348854.055,3698519.171,
3067,2147:194114.400,-3961700.952,3348852.304,3698520.342,
3068,2147:194114.600,-3961701.334,3348850.544,3698521.515,
3069,2147:194114.800,-3961701.728,3348848.797,3698522.694,
3070,2147:194115.000,-3961702.102,3348847.053,3698523.862,
3071,2147:194115.200,-3961702.489,3348845.302,3698525.048,
3072,2147:194115.400,-3961702.861,3348843.531,3698526.235,
3073,2147:194115.600,-3961703.244,3348841.751,3698527.420,
3074,2147:194115.800,-3961703.618,3348839.964,3698528.612,
3075,2147:194116.000,-3961704.022,3348838.183,3698529.811,
3076,2147:194116.200,-3961704.409,3348836.392,3698531.006,
3077,2147:194116.400,-3961704.771,3348834.596,3698532.194,
3078,2147:194116.600,-3961705.160,3348832.814,3698533.398,
3079,2147:194116.800,-3961705.533,3348831.024,3698534.585,
3080,2147:194117.000,-3961705.917,3348829.237,3698535.776,
3081,2147:194117.200,-3961706.281,3348827.445,3698536.976,
3082,2147:194117.400,-3961706.678,3348825.651,3698538.169,
3083,2147:194117.600,-3961707.040,3348823.849,3698539.388,
3084,2147:194117.800,-3961707.439,3348822.030,3698540.623,
3085,2147:194118.000,-3961707.817,3348820.221,3698541.857,
3086,2147:194118.200,-3961708.208,3348818.398,3698543.076,
3087,2147:194118.400,-3961708.587,3348816.575,3698544.319,
3088,2147:194118.600,-3961708.965,3348814.753,3698545.557,
3089,2147:194118.800,-3961709.332,3348812.944,3698546.801,
3090,2147:194119.000,-3961709.687,3348811.137,3698548.034,
3091,2147:194119.200,-3961710.025,3348809.347,3698549.298,
3092,2147:194119.400,-3961710.386,3348807.556,3698550.528,
3093,2147:194119.600,-3961710.727,3348805.782,3698551.771,
3094,2147:194119.800,-3961711.038,3348804.011,3698553.015,
3095,2147:194120.000,-3961711.355,3348802.252,3698554.245,
3096,2147:194120.200,-3961711.663,3348800.491,3698555.488,
3097,2147:194120.400,-3961711.966,3348798.740,3698556.721,
3098,2147:194120.600,-3961712.274,3348796.992,3698557.955,
3099,2147:194120.800,-3961712.586,3348795.235,3698559.205,
3100,2147:194121.000,-3961712.897,3348793.474,3698560.476,
3101,2147:194121.200,-3961713.215,3348791.698,3698561.732,
3102,2147:194121.400,-3961713.542,3348789.925,3698563.005,
3103,2147:194121.600,-3961713.851,3348788.153,3698564.273,
3104,2147:194121.800,-3961714.161,3348786.391,3698565.534,
3105,2147:194122.000,-3961714.475,3348784.641,3698566.782,
3106,2147:194122.200,-3961714.772,3348782.898,3698568.029,
3107,2147:194122.400,-3961715.075,3348781.162,3698569.268,
3108,2147:194122.600,-3961715.376,3348779.428,3698570.513,
3109,2147:194122.800,-3961715.673,3348777.686,3698571.761,
3110,2147:194123.000,-3961715.977,3348775.942,3698573.006,
3111,2147:194123.200,-3961716.265,3348774.189,3698574.258,
3112,2147:194123.400,-3961716.587,3348772.437,3698575.519,
3113,2147:194123.600,-3961716.871,3348770.683,3698576.759,
3114,2147:194123.800,-3961717.175,3348768.928,3698578.018,
3115,2147:194124.000,-3961717.467,3348767.184,3698579.272,
3116,2147:194124.200,-3961717.754,3348765.441,3698580.535,
3117,2147:194124.400,-3961718.045,3348763.701,3698581.795,
3118,2147:194124.600,-3961718.338,3348761.944,3698583.063,
3119,2147:194124.800,-3961718.631,3348760.202,3698584.337,
3120,2147:194125.000,-3961718.910,3348758.445,3698585.613,
3121,2147:194125.200,-3961719.182,3348756.688,3698586.900,
3122,2147:194125.400,-3961719.458,3348754.920,3698588.186,
3123,2147:194125.600,-3961719.735,3348753.125,3698589.493,
3124,2147:194125.800,-3961720.019,3348751.325,3698590.794,
3125,2147:194126.000,-3961720.317,3348749.534,3698592.105,
3126,2147:194126.200,-3961720.633,3348747.726,3698593.443,
3127,2147:194126.400,-3961720.945,3348745.907,3698594.769,
3128,2147:194126.600,-3961721.254,3348744.077,3698596.086,
3129,2147:194126.800,-3961721.564,3348742.229,3698597.434,
3130,2147:194127.000,-3961721.869,3348740.369,3698598.777,
3131,2147:194127.200,-3961722.189,3348738.491,3698600.118,
3132,2147:194127.400,-3961722.524,3348736.614,3698601.464,
3133,2147:194127.600,-3961722.848,3348734.719,3698602.818,
3134,2147:194127.800,-3961723.173,3348732.824,3698604.174,
3135,2147:194128.000,-3961723.493,3348730.898,3698605.542,
3136,2147:194128.200,-3961723.823,3348728.972,3698606.928,
3137,2147:194128.400,-3961724.151,3348727.046,3698608.299,
3138,2147:194128.600,-3961724.486,3348725.117,3698609.704,
3139,2147:194128.800,-3961724.798,3348723.182,3698611.112,
3140,2147:194129.000,-3961725.112,3348721.260,3698612.503,
3141,2147:194129.200,-3961725.452,3348719.342,3698613.900,
3142,2147:194129.400,-3961725.776,3348717.396,3698615.325,
3143,2147:194129.600,-3961726.105,3348715.458,3698616.739,
3144,2147:194129.800,-3961726.412,3348713.546,3698618.151,
3145,2147:194130.000,-3961726.769,3348711.621,3698619.598,
3146,2147:194130.200,-3961727.116,3348709.708,3698621.048,
3147,2147:194130.400,-3961727.486,3348707.783,3698622.466,
3148,2147:194130.600,-3961727.840,3348705.896,3698623.897,
3149,2147:194130.800,-3961728.194,3348703.996,3698625.326,
3150,2147:194131.000,-3961728.532,3348702.111,3698626.762,
3151,2147:194131.200,-3961728.888,3348700.210,3698628.182,
3152,2147:194131.400,-3961729.232,3348698.315,3698629.595,
3153,2147:194131.600,-3961729.581,3348696.417,3698631.030,
3154,2147:194131.800,-3961729.945,3348694.520,3698632.439,
3155,2147:194132.000,-3961730.312,3348692.651,3698633.859,
3156,2147:194132.200,-3961730.649,3348690.781,3698635.288,
3157,2147:194132.400,-3961730.967,3348688.918,3698636.697,
3158,2147:194132.600,-3961731.316,3348687.078,3698638.070,
3159,2147:194132.800,-3961731.665,3348685.253,3698639.477,
3160,2147:194133.000,-3961732.018,3348683.431,3698640.892,
3161,2147:194133.200,-3961732.367,3348681.617,3698642.302,
3162,2147:194133.400,-3961732.743,3348679.790,3698643.712,
3163,2147:194133.600,-3961733.105,3348677.974,3698645.113,
3164,2147:194133.800,-3961733.450,3348676.149,3698646.536,
3165,2147:194134.000,-3961733.815,3348674.331,3698647.953,
3166,2147:194134.200,-3961734.153,3348672.504,3698649.379,
3167,2147:194134.400,-3961734.505,3348670.683,3698650.794,
3168,2147:194134.600,-3961734.851,3348668.880,3698652.217,
3169,2147:194134.800,-3961735.213,3348667.086,3698653.646,
3170,2147:194135.000,-3961735.568,3348665.295,3698655.076,
3171,2147:194135.200,-3961735.936,3348663.515,3698656.488,
3172,2147:194135.400,-3961736.310,3348661.736,3698657.906,
3173,2147:194135.600,-3961736.673,3348659.972,3698659.328,
3174,2147:194135.800,-3961737.029,3348658.212,3698660.727,
3175,2147:194136.000,-3961737.382,3348656.455,3698662.117,
3176,2147:194136.200,-3961737.736,3348654.694,3698663.492,
3177,2147:194136.400,-3961738.053,3348652.944,3698664.849,
3178,2147:194136.600,-3961738.354,3348651.195,3698666.194,
3179,2147:194136.800,-3961738.636,3348649.473,3698667.524,
3180,2147:194137.000,-3961738.923,3348647.754,3698668.853,
3181,2147:194137.200,-3961739.187,3348646.045,3698670.162,
3182,2147:194137.400,-3961739.448,3348644.338,3698671.469,
3183,2147:194137.600,-3961739.697,3348642.637,3698672.761,
3184,2147:194137.800,-3961739.943,3348640.956,3698674.046,
3185,2147:194138.000,-3961740.173,3348639.264,3698675.330,
3186,2147:194138.200,-3961740.388,3348637.577,3698676.602,
3187,2147:194138.400,-3961740.591,3348635.900,3698677.877,
3188,2147:194138.600,-3961740.767,3348634.218,3698679.150,
3189,2147:194138.800,-3961740.941,3348632.559,3698680.432,
3190,2147:194139.000,-3961741.084,3348630.898,3698681.702,
3191,2147:194139.200,-3961741.220,3348629.234,3698682.969,
3192,2147:194139.400,-3961741.310,3348627.568,3698684.291,
3193,2147:194139.600,-3961741.365,3348625.934,3698685.566,
3194,2147:194139.800,-3961741.431,3348624.261,3698686.808,
3195,2147:194140.000,-3961741.483,3348622.549,3698688.081,
3196,2147:194140.200,-3961741.528,3348620.876,3698689.340,
3197,2147:194140.400,-3961741.543,3348619.203,3698690.607,
3198,2147:194140.600,-3961741.572,3348617.496,3698691.900,
3199,2147:194140.800,-3961741.585,3348615.807,3698693.176,
3200,2147:194141.000,-3961741.606,3348614.100,3698694.458,
3201,2147:194141.200,-3961741.640,3348612.376,3698695.773,
3202,2147:194141.400,-3961741.663,3348610.652,3698697.057,
3203,2147:194141.600,-3961741.720,3348608.964,3698698.344,
3204,2147:194141.800,-3961741.814,3348607.254,3698699.681,
3205,2147:194142.000,-3961741.912,3348605.551,3698701.007,
3206,2147:194142.200,-3961742.008,3348603.844,3698702.304,
3207,2147:194142.400,-3961742.114,3348602.169,3698703.618,
3208,2147:194142.600,-3961742.214,3348600.495,3698704.921,
3209,2147:194142.800,-3961742.328,3348598.844,3698706.173,
3210,2147:194143.000,-3961742.458,3348597.217,3698707.411,
3211,2147:194143.200,-3961742.599,3348595.629,3698708.629,
